,Precision Train,Precision Validation,Recall Train,Recall Validation,Accuracy Train,Accuracy Validation,F1 Train,F1 Validation
dtc_base_no_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
dtc_raw_no_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
dtc_raw_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
dtc_eng_no_cv,1.0,0.9777777777777779,1.0,0.9696969696969697,1.0,0.9736842105263158,1.0,0.972632731253421
dtc_eng_cv,0.9914529914529915,0.9458874458874459,0.9907407407407408,0.9458874458874459,0.990990990990991,0.9473684210526315,0.9909761599902445,0.9458874458874459
rfc_raw_no_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
rfc_raw_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
rfc_eng_no_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
rfc_eng_cv,0.975609756097561,0.9722222222222222,0.9722222222222222,0.9761904761904763,0.972972972972973,0.9736842105263158,0.9728490185287103,0.9731615673644658
xgbc_raw_no_cv,1.0,0.9202464202464203,1.0,0.9220779220779222,1.0,0.9210526315789473,1.0,0.9203142536475869
xgbc_raw_cv,0.9833333333333334,0.9484126984126985,0.9814814814814815,0.9523809523809524,0.9819819819819819,0.9473684210526315,0.981929181929182,0.9475205417234402
xgbc_eng_no_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
xgbc_eng_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
logreg_raw_no_cv,0.9733821733821735,0.9458874458874459,0.9727095516569201,0.9458874458874459,0.972972972972973,0.9473684210526315,0.9729284799707335,0.9458874458874459
logreg_raw_cv,0.9733821733821735,0.9722222222222222,0.9727095516569201,0.9761904761904763,0.972972972972973,0.9736842105263158,0.9729284799707335,0.9731615673644658
logreg_eng_no_cv,0.954954954954955,0.9458874458874459,0.9551656920077972,0.9458874458874459,0.954954954954955,0.9473684210526315,0.9549467275494673,0.9458874458874459
logreg_eng_cv,0.954954954954955,0.9458874458874459,0.9551656920077972,0.9458874458874459,0.954954954954955,0.9473684210526315,0.9549467275494673,0.9458874458874459
svc_raw_no_cv,0.9914529914529915,0.9458874458874459,0.9907407407407408,0.9458874458874459,0.990990990990991,0.9473684210526315,0.9909761599902445,0.9458874458874459
svc_raw_cv,0.9819688109161794,0.9458874458874459,0.9819688109161794,0.9458874458874459,0.9819819819819819,0.9473684210526315,0.9819688109161794,0.9458874458874459
svc_eng_no_cv,0.954954954954955,0.9458874458874459,0.9551656920077972,0.9458874458874459,0.954954954954955,0.9473684210526315,0.9549467275494673,0.9458874458874459
svc_eng_cv,0.9914529914529915,0.9458874458874459,0.9907407407407408,0.9458874458874459,0.990990990990991,0.9473684210526315,0.9909761599902445,0.9458874458874459
knn_raw_no_cv,0.9644249512670565,0.9458874458874459,0.9644249512670565,0.9458874458874459,0.963963963963964,0.9473684210526315,0.963963963963964,0.9458874458874459
knn_raw_cv,1.0,0.9458874458874459,1.0,0.9458874458874459,1.0,0.9473684210526315,1.0,0.9458874458874459
knn_eng_no_cv,0.9459064327485379,0.8917748917748919,0.9459064327485379,0.8917748917748919,0.9459459459459459,0.8947368421052632,0.9459064327485379,0.8917748917748919
knn_eng_cv,0.9658058345289335,0.9458874458874459,0.9632132132132133,0.9458874458874459,0.963963963963964,0.9473684210526315,0.9637279430586175,0.9458874458874459
gnb_raw_no_cv,0.9553113553113554,0.9458874458874459,0.9546783625730993,0.9458874458874459,0.954954954954955,0.9473684210526315,0.9548807999512224,0.9458874458874459
gnb_raw_cv,0.9639376218323586,0.9458874458874459,0.9639376218323586,0.9458874458874459,0.963963963963964,0.9473684210526315,0.9639376218323586,0.9458874458874459
gnb_eng_no_cv,0.9289215686274509,0.9458874458874459,0.9273879142300195,0.9458874458874459,0.9279279279279279,0.9473684210526315,0.9277167277167276,0.9458874458874459
gnb_eng_cv,0.954954954954955,0.9458874458874459,0.9551656920077972,0.9458874458874459,0.954954954954955,0.9473684210526315,0.9549467275494673,0.9458874458874459
mlp_raw_no_cv,0.9914529914529915,0.9458874458874459,0.9907407407407408,0.9458874458874459,0.990990990990991,0.9473684210526315,0.9909761599902445,0.9458874458874459
mlp_raw_cv,0.9914529914529915,0.9458874458874459,0.9907407407407408,0.9458874458874459,0.990990990990991,0.9473684210526315,0.9909761599902445,0.9458874458874459
mlp_eng_no_cv,0.9819688109161794,0.9458874458874459,0.9819688109161794,0.9458874458874459,0.9819819819819819,0.9473684210526315,0.9819688109161794,0.9458874458874459
mlp_eng_cv,0.9819688109161794,0.9458874458874459,0.9819688109161794,0.9458874458874459,0.9819819819819819,0.9473684210526315,0.9819688109161794,0.9458874458874459
