,Precision Train,Precision Validation,Recall Train,Recall Validation,Accuracy Train,Accuracy Validation,F1 Train,F1 Validation
dtc_base_no_cv,1.0,0.9595202398800601,1.0,0.9714285714285714,1.0,0.9642857142857143,1.0,0.9640751584977822
dtc_raw_no_cv,1.0,0.9595202398800601,1.0,0.9714285714285714,1.0,0.9642857142857143,1.0,0.9640751584977822
dtc_raw_cv,0.9941002949852508,0.9163809907911542,0.9858156028368795,0.9079365079365079,0.9919678714859438,0.9166666666666666,0.9897774327122154,0.9112881970183674
dtc_eng_no_cv,1.0,0.9848484848484849,1.0,0.9904761904761905,1.0,0.9880952380952381,1.0,0.9874171441411077
dtc_eng_cv,1.0,0.9733542319749217,1.0,0.980952380952381,1.0,0.9761904761904762,1.0,0.9765961872305021
dtc_clus_no_cv,1.0,0.9710144927536232,1.0,0.980952380952381,1.0,0.9761904761904762,1.0,0.9750445632798574
dtc_clus_cv,0.9899047984154367,1.0,0.9899047984154367,1.0,0.9919678714859438,1.0,0.9899047984154367,1.0
rfc_raw_no_cv,1.0,0.9848484848484849,1.0,0.9904761904761905,1.0,0.9880952380952381,1.0,0.9874171441411077
rfc_raw_cv,0.9899047984154367,0.9848484848484849,0.9899047984154367,0.9904761904761905,0.9919678714859438,0.9880952380952381,0.9899047984154367,0.9874171441411077
rfc_eng_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rfc_eng_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rfc_clus_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rfc_clus_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgbc_raw_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgbc_raw_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgbc_eng_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgbc_eng_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
xgbc_clus_no_cv,1.0,0.9848484848484849,1.0,0.9904761904761905,1.0,0.9880952380952381,1.0,0.9874171441411077
xgbc_clus_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logreg_raw_no_cv,0.9970238095238096,1.0,0.9929078014184397,1.0,0.9959839357429718,1.0,0.9949210022984071,1.0
logreg_raw_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logreg_eng_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logreg_eng_cv,1.0,0.9907407407407408,1.0,0.9880952380952381,1.0,0.9880952380952381,1.0,0.9892445582586428
logreg_clus_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
logreg_clus_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svc_raw_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svc_raw_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svc_eng_no_cv,0.9941002949852508,1.0,0.9858156028368795,1.0,0.9919678714859438,1.0,0.9897774327122154,1.0
svc_eng_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
svc_clus_no_cv,0.9941002949852508,1.0,0.9858156028368795,1.0,0.9919678714859438,1.0,0.9897774327122154,1.0
svc_clus_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_raw_no_cv,0.98,1.0,0.990990990990991,1.0,0.9879518072289156,1.0,0.9851245116038224,1.0
knn_raw_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
knn_eng_no_cv,0.9930555555555555,0.9848484848484849,0.9969969969969971,0.9904761904761905,0.9959839357429718,0.9880952380952381,0.9949829324442327,0.9874171441411077
knn_eng_cv,1.0,0.9907407407407408,1.0,0.9841269841269842,1.0,0.9880952380952381,1.0,0.9871750830184358
knn_clus_no_cv,1.0,0.9848484848484849,1.0,0.9904761904761905,1.0,0.9880952380952381,1.0,0.9874171441411077
knn_clus_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
gnb_raw_no_cv,0.7522570681872178,0.8183990442054957,0.7717717717717717,0.8285714285714286,0.6947791164658634,0.7857142857142857,0.6700570471656632,0.7788461538461539
gnb_raw_cv,0.9777553083923154,1.0,0.9615360040891955,1.0,0.9759036144578314,1.0,0.9689282202556538,1.0
gnb_eng_no_cv,0.8333333333333334,0.8924731182795699,0.8618618618618618,0.9047619047619048,0.8152610441767069,0.8809523809523809,0.8031436251892673,0.8803418803418803
gnb_eng_cv,0.9970238095238096,1.0,0.9929078014184397,1.0,0.9959839357429718,1.0,0.9949210022984071,1.0
gnb_clus_no_cv,0.8369565217391305,0.8924731182795699,0.8648648648648649,0.9047619047619048,0.8192771084337349,0.8809523809523809,0.8073405682233874,0.8803418803418803
gnb_clus_cv,0.9899047984154367,1.0,0.9899047984154367,1.0,0.9919678714859438,1.0,0.9899047984154367,1.0
mlp_raw_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_raw_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_eng_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_eng_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_clus_no_cv,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mlp_clus_cv,0.9899047984154367,1.0,0.9899047984154367,1.0,0.9919678714859438,1.0,0.9899047984154367,1.0
