,logSalePrice
logSalePrice,1.0
MSSubClass,-0.07395901733239706
LotFrontage,0.35328808691463376
LotArea,0.2573198923527394
OverallQual,0.8171844179216838
OverallCond,-0.03686798773028448
YearBuilt,0.5865702403842264
YearRemodAdd,0.5656078325911805
MasVnrArea,0.4267751318363661
BsmtFinSF1,0.37202307356708847
BsmtFinSF2,0.004832410532046697
BsmtUnfSF,0.22198505352520956
TotalBsmtSF,0.6121339753697869
1stFlrSF,0.5969810450343733
2ndFlrSF,0.3192999843472046
LowQualFinSF,-0.03796280313742577
GrLivArea,0.7009266525441282
BsmtFullBath,0.2362241088243495
BsmtHalfBath,-0.0051490940532391205
FullBath,0.5947705420075314
HalfBath,0.31398224991514845
BedroomAbvGr,0.20904368212691957
KitchenAbvGr,-0.14754808847658185
TotRmsAbvGrd,0.5344222037231241
Fireplaces,0.4894494275984859
GarageYrBlt,0.3490136169886167
GarageCars,0.6806248074360467
GarageArea,0.6508875559020062
WoodDeckSF,0.3341350739575121
OpenPorchSF,0.3210529720197675
EnclosedPorch,-0.14905028142767693
3SsnPorch,0.05490022646762184
ScreenPorch,0.12120760489686366
PoolArea,0.06979780600969036
MiscVal,-0.020020820155022857
MoSold,0.0573294845979097
YrSold,-0.037262969463139284
HouseAge,-0.5872900470291361
GarageAge,-0.3491098222248531
RemodAge,-0.568148625126593
BathsAbvGr,0.6393195069286711
BsmtBaths,0.2368359104178748
AllBaths,0.6730105940434354
AllRmsAbvGr,0.6135123402875147
AllRooms,0.6635504217478794
TotalSF,0.7732768410005639
1and2FlrSF,0.7102743349098309
OverallQualCond,0.6068728118075558
Has_MasVnr,0.3822718088078489
Has_Bsmt,0.19963440195810844
Has_2ndFlr,0.15054940161003055
Has_Garage,0.3229985232994594
Has_WoodDeck,0.32034899659563093
Has_Porch,-0.0931396352092028
Has_Pool,0.06983498676138589
