,R2 Score Train,R2 Score Validation,RMSE Train,RMSE Validation
svr_clus_cv,0.1228845610172475,0.9052211787120832,0.1228845610172475,0.1260353223221299
lasso_eng_cv,0.1356090574388954,0.9031887372523012,0.1356090574388954,0.127379508012887
linreg_eng_cv,0.135466378391432,0.9027965112978116,0.135466378391432,0.127637283016397
ridge_eng_cv,0.1361276316495511,0.902481227597856,0.1361276316495511,0.1278441139468725
ridge_clus_cv,0.1363135014976116,0.8995012820205883,0.1363135014976116,0.1297827240816253
svr_eng_cv,0.1147299495316205,0.8984761893412638,0.1147299495316205,0.1304429404012907
2stage_lasso_xgb_eng_cv,0.9316200328661701,0.8966970960487683,0.10340224838054149,0.13158091127225852
linreg_clus_cv,0.1395514869075095,0.8966353533798145,0.1395514869075095,0.1316202274133068
lasso_clus_cv,0.1384741033938478,0.8963053210297908,0.1384741033938478,0.131830184664901
xgbr_eng_cv,0.0788408765512019,0.8952477487690366,0.0788408765512019,0.1325007410829472
two_stage_eng_cv,0.9617341841297179,0.8930222316357014,0.0773519073456228,0.13390086781717042
rfr_eng_cv,0.0592814761832037,0.8915233371162391,0.0592814761832037,0.1348356654644386
stacked_lasso_no_cv,0.9620459570468978,0.8897512626582277,0.07703614832572762,0.13593254149523382
2stage_lasso_xgb_clus_cv,0.9311892341347212,0.8894945875423916,0.10372745779039201,0.1360906848796313
stacked_ridge_no_cv,0.9621362779594262,0.8891036429493895,0.0769444305645108,0.1363312022590671
stacked_linreg_no_cv,0.9622570519688629,0.888272693373341,0.07682161763024913,0.13684101582889713
two_stage_clus_cv,0.9660418219470429,0.886706338864674,0.07286814752002628,0.13779689461816733
mlp_clus_cv,0.1362524646398584,0.8772141749087354,0.1362524646398584,0.1434533653969436
rfr_clus_cv,0.0714093284073018,0.8754138054232847,0.0714093284073018,0.1445012437249993
xgbr_clus_cv,0.0785134494265347,0.8741574934984864,0.0785134494265347,0.1452279826543548
knn_clus_cv,0.0013871750180079,0.8638696840418442,0.0013871750180079,0.1510476771560115
knn_eng_cv,0.0013871750180079,0.8635332850395452,0.0013871750180079,0.1512341930507785
mlp_eng_cv,0.1380712409658582,0.8634149204816792,0.1380712409658582,0.1512997654085487
dtr_eng_cv,0.1867639053656299,0.7932716626764601,0.1867639053656299,0.1861386803361474
dtr_clus_cv,0.1744218887256255,0.7712936236583882,0.1744218887256255,0.1957833526366615
